130,0,Movie,Suckseed,9/5/2018,2011,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",80158839
98,0,Movie,Carrie Pilby,9/5/2017,2016,TV-14,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",80147760
70,0,Movie,Marc Maron: Too Real,9/5/2017,2017,TV-MA,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",80177405
0,1,TV Show,No Tomorrow,9/5/2017,2016,TV-14,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",80113482
128,0,Movie,Saawan,9/4/2019,2016,TV-14,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",81160036
88,0,Movie,The Heretics,9/4/2019,2017,TV-MA,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,81173255
108,0,Movie,The World We Make,9/4/2019,2019,PG,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",81078908
93,0,Movie,Watchman,9/4/2019,2019,TV-14,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",81155784
135,0,Movie,Black Panther,9/4/2018,2018,PG-13,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",80201906
88,0,Movie,Man Up,9/4/2018,2015,R,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",80052612
0,1,TV Show,Frequency,9/4/2017,2016,TV-14,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",80113641
64,0,Movie,Mo Gilligan: Momentum,9/30/2019,2019,TV-MA,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",81054495
0,1,TV Show,Adam Ruins Everything,9/30/2018,2018,TV-14,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",80996949
0,1,TV Show,Ben 10,9/30/2018,2016,TV-Y7,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,80239337
107,0,Movie,Big Miracle,9/30/2018,2012,PG,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",70212504
0,1,TV Show,Christiane Amanpour: Sex & Love Around the World,9/30/2018,2018,TV-MA,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",81011682
0,1,TV Show,The Eighties,9/30/2018,2016,TV-PG,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",80128317
0,1,TV Show,The Nineties,9/30/2018,2017,TV-14,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,81027384
0,1,TV Show,The Seventies,9/30/2018,2015,TV-PG,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",80030186
0,1,TV Show,We Bare Bears,9/30/2018,2017,TV-Y7,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",80116921
130,0,Movie,The Mayor,9/30/2017,2017,TV-MA,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",80187061
0,1,TV Show,The Royal House of Windsor,9/30/2017,2017,TV-14,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",80181555
92,0,Movie,Amanda Knox,9/30/2016,2016,TV-MA,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,80081155
